Unternehmen,Ticker,Gewichtung_pct
Sysco Corp.,SYY,0.062658
Iron Mountain Inc.,IRM,0.062339
Paypal Holdings Inc.,PYPL,0.061813
Wec Energy Group Inc.,WEC,0.061254
Agilent Technologies Inc.,A,0.060819
P G + E Corp.,PCG,0.060557
Garmin Ltd.,GRMN,0.060096
Jabil Inc.,JBL,0.059858
Prudential Financial Inc.,PRU,0.059430
Axon Enterprise Inc.,AXON,0.059292
Carnival Corp. Ltd.,CCL,0.058963
Archer Daniels Midland Co.,ADM,0.058551
Martin Marietta Materials,MLM,0.058540
Kenvue Inc.,KVUE,0.058114
Waters Corp.,WAT,0.058090
Hartford Insurance Group Inc.,HIG,0.058074
Kimberly Clark Corp.,KMB,0.057436
Occidental Petroleum Corp.,OXY,0.057430
Crown Castle Inc.,CCI,0.057152
Huntington Bancshares Inc.,HBAN,0.057058
On Semiconductor,ON,0.056208
Emcor Group Inc.,EME,0.056138
Nasdaq Inc.,NDAQ,0.055534
Diamondback Energy Inc.,FANG,0.055244
M + T Bank Corp.,MTB,0.054977
Roper Technologies Inc.,ROP,0.054001
Arch Capital Group Ltd.,ACGL,0.053706
Steel Dynamics Inc.,STLD,0.052666
Coinbase Global Inc. Class A,COIN,0.052458
Qnity Electronics Inc.,Q,0.052364
Eqt Corp.,EQT,0.052151
Kroger Co.,KR,0.051813
Ameren Corporation,AEE,0.051793
Paychex Inc.,PAYX,0.050979
Northern Trust Corp.,NTRS,0.050901
Dte Energy Company,DTE,0.050833
Biogen Inc.,BIIB,0.050535
Iqvia Holdings Inc.,IQV,0.050480
Zoetis Inc.,ZTS,0.050471
Extra Space Storage Inc.,EXR,0.049868
Nrg Energy Inc.,NRG,0.049855
Centene Corp.,CNC,0.048718
Dover Corp.,DOV,0.048181
Netapp Inc.,NTAP,0.047663
Expedia Group Inc.,EXPE,0.047599
Ge Healthcare Technology,GEHC,0.047332
Citizens Financial Group,CFG,0.047103
Vici Properties Inc.,VICI,0.046999
Tapestry Inc.,TPR,0.046745
Centerpoint Energy Inc.,CNP,0.046600
Edison International,EIX,0.046070
Atmos Energy Corp.,ATO,0.046018
Resmed Inc.,RMD,0.045966
Ingersoll Rand Inc.,IR,0.045801
Teledyne Technologies Inc.,TDY,0.045770
Casey S General Stores Inc.,CASY,0.045595
